MutationType	DBS1
AC>CA	0.00005015
AC>CG	0.00002664
AC>CT	0.00433033
AC>GA	0.00012819
AC>GG	0.00005762
AC>GT	0.00298783
AC>TA	0.00121128
AC>TG	0.00017362
AC>TT	0.02674914
AT>CA	0.00048403
AT>CC	0.00029825
AT>CG	0.00000400
AT>GA	0.00212890
AT>GC	0.00017473
AT>TA	0.00234983
CC>AA	0.00001059
CC>AG	0.00001229
CC>AT	0.01868458
CC>GA	0.00013389
CC>GG	0.00009809
CC>GT	0.00691429
CC>TA	0.01039142
CC>TG	0.00254790
CC>TT	0.85729255
CG>AT	0.00000062
CG>GC	0.00000554
CG>GT	0.00000174
CG>TA	0.00036404
CG>TC	0.00001288
CG>TT	0.00012680
CT>AA	0.00002807
CT>AC	0.00042467
CT>AG	0.00000000
CT>GA	0.00009038
CT>GC	0.00025541
CT>GG	0.00001094
CT>TA	0.00791565
CT>TC	0.01064204
CT>TG	0.00227030
GC>AA	0.00158441
GC>AG	0.00010730
GC>AT	0.00004882
GC>CA	0.00005775
GC>CG	0.00000516
GC>TA	0.00000083
TA>AT	0.00050494
TA>CG	0.00000755
TA>CT	0.00070192
TA>GC	0.00002009
TA>GG	0.00007027
TA>GT	0.00114987
TC>AA	0.00001099
TC>AG	0.00000312
TC>AT	0.00248056
TC>CA	0.00000446
TC>CG	0.00003327
TC>CT	0.00191588
TC>GA	0.00006472
TC>GG	0.00041444
TC>GT	0.00514263
TG>AA	0.00138109
TG>AC	0.00023892
TG>AT	0.00242951
TG>CA	0.00028126
TG>CC	0.00010383
TG>CT	0.00186498
TG>GA	0.00041030
TG>GC	0.00008960
TG>GT	0.00191538
TT>AA	0.00554688
TT>AC	0.00072746
TT>AG	0.00042233
TT>CA	0.00073251
TT>CC	0.00547615
TT>CG	0.00008465
TT>GA	0.00187927
TT>GC	0.00107098
TT>GG	0.00162668
