Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID10	ID11	ID13	ID15	ID16	ID17	ID18	ID19	ID20	ID21
TCGA-3N-A9WB	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TCGA-3N-A9WC	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
TCGA-3N-A9WD	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0
TCGA-BF-AAP0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TCGA-D3-A1Q1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A1Q3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TCGA-D3-A1Q4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A1Q5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A1Q6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TCGA-D3-A1Q8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A1Q9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TCGA-D3-A1QA	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
TCGA-D3-A1QB	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A2J7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A2J8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A2JA	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A2JC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
TCGA-D3-A2JD	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCGA-D3-A2JE	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A2JF	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
TCGA-D3-A2JG	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCGA-D3-A2JH	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
TCGA-D3-A2JK	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A2JL	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A2JN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0
TCGA-D3-A2JO	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
TCGA-D3-A2JP	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A3BZ	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TCGA-D3-A3C1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
TCGA-D3-A3C3	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
TCGA-D3-A3C6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A3C7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
TCGA-D3-A3C8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A3CB	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A3CC	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A3CE	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
TCGA-D3-A3ML	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A3MO	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
TCGA-D3-A3MR	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A3MU	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0
TCGA-D3-A3MV	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
TCGA-D3-A51E	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A51G	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
TCGA-D3-A51J	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A51N	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TCGA-D3-A51R	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
TCGA-D3-A51T	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
TCGA-D3-A5GL	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0
TCGA-D3-A5GN	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TCGA-D3-A5GO	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0
TCGA-D3-A5GR	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TCGA-D3-A5GS	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TCGA-D3-A5GU	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A8GB	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A8GC	1	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
TCGA-D3-A8GD	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TCGA-D3-A8GI	0	0	4	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0
TCGA-D3-A8GK	0	0	0	0	0	0	0	3	0	0	5	3	0	0	0	0	0	0
TCGA-D3-A8GL	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0
TCGA-D3-A8GM	26	56	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A8GO	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A8GP	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A8GQ	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A8GR	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A8GS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D3-A8GV	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
TCGA-D9-A148	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D9-A149	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D9-A1JW	1	0	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
TCGA-D9-A1JX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
TCGA-D9-A3Z1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D9-A3Z3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D9-A4Z6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
TCGA-D9-A6E9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TCGA-D9-A6EA	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
TCGA-D9-A6EC	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
TCGA-D9-A6EG	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
TCGA-DA-A1HV	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
TCGA-DA-A1HW	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0
TCGA-DA-A1HY	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
TCGA-DA-A1I0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0
TCGA-DA-A1I1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
TCGA-DA-A1I2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TCGA-DA-A1I4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
TCGA-DA-A1I5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DA-A1I7	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
TCGA-DA-A1I8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DA-A1IA	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DA-A1IC	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0
TCGA-DA-A3F3	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
TCGA-DA-A3F5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
TCGA-DA-A3F8	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
TCGA-DA-A95V	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-DA-A95W	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DA-A95X	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-DA-A95Y	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
TCGA-DA-A95Z	0	0	0	0	0	0	0	6	0	0	0	10	0	0	0	0	0	0
TCGA-EB-A44Q	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCGA-EB-A44R	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EB-A5KH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TCGA-EB-A5SH	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TCGA-EB-A5UL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EB-A5UN	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A17X	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TCGA-EE-A17Y	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
TCGA-EE-A17Z	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A180	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TCGA-EE-A181	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A182	0	0	0	0	0	0	0	9	0	0	4	0	0	0	0	0	0	0
TCGA-EE-A183	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A184	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A185	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A20B	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A20C	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
TCGA-EE-A20F	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
TCGA-EE-A20H	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0
TCGA-EE-A20I	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A29A	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
TCGA-EE-A29B	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TCGA-EE-A29C	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TCGA-EE-A29D	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	6	0	0
TCGA-EE-A29E	0	0	0	0	0	0	0	4	0	2	3	0	0	0	0	0	0	0
TCGA-EE-A29G	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TCGA-EE-A29H	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A29L	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0
TCGA-EE-A29M	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
TCGA-EE-A29N	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0
TCGA-EE-A29P	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0
TCGA-EE-A29Q	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
TCGA-EE-A29R	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
TCGA-EE-A29S	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
TCGA-EE-A29T	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0
TCGA-EE-A29V	0	0	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
TCGA-EE-A29W	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCGA-EE-A2A0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2A1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
TCGA-EE-A2A2	0	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2A5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2A6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2GB	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2GC	0	3	0	0	0	0	0	7	0	0	5	0	0	0	0	0	0	0
TCGA-EE-A2GD	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0
TCGA-EE-A2GE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TCGA-EE-A2GH	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
TCGA-EE-A2GI	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2GJ	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0
TCGA-EE-A2GL	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2GM	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
TCGA-EE-A2GN	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0
TCGA-EE-A2GO	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
TCGA-EE-A2GP	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
TCGA-EE-A2GR	0	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0
TCGA-EE-A2GS	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2GT	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
TCGA-EE-A2GU	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TCGA-EE-A2M5	0	0	0	0	0	0	0	8	0	0	4	0	0	0	0	0	0	0
TCGA-EE-A2M6	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2M7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2M8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TCGA-EE-A2MC	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2MD	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2ME	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2MF	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
TCGA-EE-A2MH	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TCGA-EE-A2MI	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2MJ	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
TCGA-EE-A2MK	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2ML	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2MM	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TCGA-EE-A2MN	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TCGA-EE-A2MP	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	2	0
TCGA-EE-A2MQ	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
TCGA-EE-A2MR	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A2MS	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
TCGA-EE-A2MT	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
TCGA-EE-A2MU	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
TCGA-EE-A3AA	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TCGA-EE-A3AB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TCGA-EE-A3AC	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0
TCGA-EE-A3AD	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
TCGA-EE-A3AE	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A3AF	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0
TCGA-EE-A3AG	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A3AH	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A3J3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCGA-EE-A3J4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A3J5	0	0	14	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
TCGA-EE-A3J7	0	7	0	0	0	0	7	9	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A3JA	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A3JB	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
TCGA-EE-A3JD	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TCGA-EE-A3JE	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-EE-A3JH	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCGA-EE-A3JI	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A193	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
TCGA-ER-A195	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A198	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A199	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A19B	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TCGA-ER-A19C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A19D	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A19E	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A19F	1	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0
TCGA-ER-A19G	1	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0
TCGA-ER-A19H	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TCGA-ER-A19J	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A19M	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A19N	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A19O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TCGA-ER-A19P	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A19S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TCGA-ER-A19T	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A19W	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A2NC	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A2ND	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A2NE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
TCGA-ER-A2NG	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A3ES	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A3ET	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A3EV	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
TCGA-ER-A3PL	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
TCGA-ER-A42K	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TCGA-ER-A42L	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-FR-A3YN	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
TCGA-FR-A3YO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TCGA-FR-A44A	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
TCGA-FR-A729	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TCGA-FR-A7U8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TCGA-FR-A7U9	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
TCGA-FR-A8YC	2	0	6	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0
TCGA-FR-A8YD	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
TCGA-FS-A1YW	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
TCGA-FS-A1YX	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
TCGA-FS-A1YY	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-FS-A1Z0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-FS-A1Z3	1	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0
TCGA-FS-A1Z4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
TCGA-FS-A1ZA	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0
TCGA-FS-A1ZB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-FS-A1ZC	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
TCGA-FS-A1ZD	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-FS-A1ZE	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0
TCGA-FS-A1ZF	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-FS-A1ZG	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCGA-FS-A1ZH	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-FS-A1ZJ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
TCGA-FS-A1ZK	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0
TCGA-FS-A1ZM	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
TCGA-FS-A1ZS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-FS-A1ZT	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
