MutationType	ID3	ID8	ID11	ID13
1:Del:C:0	0.12472711	0.03982756	0.00157657	0.06554837
1:Del:C:1	0.20887617	0.02391594	0.00055032	0.01753646
1:Del:C:2	0.17632422	0.00333055	0.00035734	0.00512022
1:Del:C:3	0.06404276	0.00540315	0.00000000	0.00535052
1:Del:C:4	0.04398981	0.00127571	0.00000000	0.00434601
1:Del:C:5	0.02241749	0.00093373	0.00015647	0.00084306
1:Del:T:0	0.03759923	0.03424369	0.00094421	0.05369876
1:Del:T:1	0.01330982	0.01045208	0.00025851	0.49822416
1:Del:T:2	0.01650185	0.00899203	0.00051652	0.02377780
1:Del:T:3	0.02014148	0.00982504	0.00042568	0.06278095
1:Del:T:4	0.01581436	0.00127378	0.00193245	0.02300438
1:Del:T:5	0.00806631	0.01062034	0.00653939	0.00607958
1:Ins:C:0	0.00208309	0.00276427	0.00018624	0.00285043
1:Ins:C:1	0.00157889	0.00216912	0.16348288	0.00165226
1:Ins:C:2	0.00174795	0.00152700	0.09373884	0.00082125
1:Ins:C:3	0.00617765	0.00011652	0.03617564	0.00037556
1:Ins:C:4	0.00710445	0.00055418	0.01118979	0.00014858
1:Ins:C:5	0.00735110	0.00048949	0.00341224	0.00070698
1:Ins:T:0	0.01872237	0.00450798	0.00040694	0.04113701
1:Ins:T:1	0.04311903	0.00486870	0.31427728	0.00474885
1:Ins:T:2	0.04015704	0.00142964	0.16180782	0.00305417
1:Ins:T:3	0.02512543	0.00108729	0.10772533	0.00927186
1:Ins:T:4	0.00656331	0.00082262	0.04903068	0.01209864
1:Ins:T:5	0.02618124	0.02016125	0.02362904	0.01109979
2:Del:R:0	0.00689755	0.00876922	0.00000000	0.02218440
2:Del:R:1	0.00847465	0.01030715	0.00136310	0.00433321
2:Del:R:2	0.01180064	0.00053203	0.00015073	0.00310892
2:Del:R:3	0.00667112	0.00002710	0.00000000	0.00010557
2:Del:R:4	0.00282253	0.00027403	0.00000913	0.00000613
2:Del:R:5	0.00010124	0.00083308	0.00452771	0.00006630
3:Del:R:0	0.00058912	0.01096410	0.00018944	0.00303967
3:Del:R:1	0.00037239	0.00134887	0.00039086	0.00118696
3:Del:R:2	0.00009630	0.00037657	0.00017042	0.00038438
3:Del:R:3	0.00002450	0.00025351	0.00012758	0.00006900
3:Del:R:4	0.00000382	0.00000268	0.00120211	0.00000309
3:Del:R:5	0.00000038	0.00009100	0.00174236	0.00009960
4:Del:R:0	0.00017765	0.00669131	0.00000000	0.00215535
4:Del:R:1	0.00063457	0.00162295	0.00035550	0.00002300
4:Del:R:2	0.00011680	0.00027262	0.00000000	0.00007920
4:Del:R:3	0.00000000	0.00002880	0.00031214	0.00003920
4:Del:R:4	0.00000000	0.00009730	0.00068737	0.00000947
4:Del:R:5	0.00000283	0.00000634	0.00015760	0.00006300
5:Del:R:0	0.00177678	0.23797886	0.00128145	0.02009754
5:Del:R:1	0.00007410	0.00057226	0.00047463	0.00298053
5:Del:R:2	0.00000278	0.00051684	0.00000000	0.00006990
5:Del:R:3	0.00000000	0.00000816	0.00000000	0.00000640
5:Del:R:4	0.00004370	0.00011290	0.00000000	0.00000146
5:Del:R:5	0.00000382	0.00004430	0.00000008	0.00000235
2:Ins:R:0	0.00263595	0.00191671	0.00019047	0.01061841
2:Ins:R:1	0.00224268	0.00166182	0.00000000	0.00180137
2:Ins:R:2	0.00095560	0.00030459	0.00024788	0.00068852
2:Ins:R:3	0.00089724	0.00017758	0.00037236	0.00074354
2:Ins:R:4	0.00025309	0.00001660	0.00044238	0.00021335
2:Ins:R:5	0.00000667	0.00176438	0.00028880	0.00084658
3:Ins:R:0	0.00009600	0.00066786	0.00000000	0.00008210
3:Ins:R:1	0.00028614	0.00067172	0.00020708	0.00368833
3:Ins:R:2	0.00009750	0.00013577	0.00022153	0.00020251
3:Ins:R:3	0.00001360	0.00003790	0.00002180	0.00002370
3:Ins:R:4	0.00000156	0.00012204	0.00000000	0.00000349
3:Ins:R:5	0.00000000	0.00003660	0.00009010	0.00003540
4:Ins:R:0	0.00000000	0.00077776	0.00015962	0.00111880
4:Ins:R:1	0.00017598	0.00110390	0.00037764	0.00269163
4:Ins:R:2	0.00002740	0.00007990	0.00000000	0.00006930
4:Ins:R:3	0.00004770	0.00000858	0.00000000	0.00000064
4:Ins:R:4	0.00000418	0.00020551	0.00000000	0.00001210
4:Ins:R:5	0.00003290	0.00088523	0.00000000	0.00000031
5:Ins:R:0	0.00008830	0.00031833	0.00066606	0.00259023
5:Ins:R:1	0.00065622	0.00976111	0.00115191	0.01350195
5:Ins:R:2	0.00000551	0.00010115	0.00036601	0.00004590
5:Ins:R:3	0.00003320	0.00007090	0.00000083	0.00004610
5:Ins:R:4	0.00000787	0.00000674	0.00000225	0.00000243
5:Ins:R:5	0.00000348	0.00019055	0.00000184	0.00004330
2:Del:M:1	0.00693076	0.00491367	0.00038206	0.00887241
3:Del:M:1	0.00034461	0.00929034	0.00020044	0.00114008
3:Del:M:2	0.00030285	0.00430269	0.00030174	0.00045031
4:Del:M:1	0.00007350	0.00580955	0.00000000	0.00127080
4:Del:M:2	0.00034022	0.00159159	0.00000000	0.00015972
4:Del:M:3	0.00013046	0.00109834	0.00078987	0.00027058
5:Del:M:1	0.00136963	0.28072426	0.00028279	0.01174078
5:Del:M:2	0.00175127	0.12361016	0.00037277	0.00705542
5:Del:M:3	0.00077496	0.04613041	0.00075013	0.00216598
5:Del:M:4	0.00064056	0.01636726	0.00013028	0.00028174
5:Del:M:5	0.00036297	0.01281488	0.00051895	0.01313191
