Samples	SBS1	SBS5	SBS7a	SBS7b	SBS10b	SBS15	SBS19	SBS31	SBS87
TCGA-3N-A9WB	7	4	96	61	29	0	0	0	0
TCGA-3N-A9WC	74	111	1160	937	0	0	0	0	0
TCGA-3N-A9WD	39	19	591	444	0	0	0	0	0
TCGA-BF-AAP0	17	40	230	242	0	0	0	0	0
TCGA-D3-A1Q1	12	38	0	0	0	0	0	0	0
TCGA-D3-A1Q3	4	35	0	0	0	0	0	0	0
TCGA-D3-A1Q4	12	4	196	105	0	0	0	0	0
TCGA-D3-A1Q5	21	0	139	267	0	0	0	0	0
TCGA-D3-A1Q6	39	70	317	545	0	0	0	0	0
TCGA-D3-A1Q7	6	5	41	61	0	0	0	0	0
TCGA-D3-A1Q8	7	15	93	134	27	0	0	0	0
TCGA-D3-A1Q9	7	27	0	0	0	0	0	0	0
TCGA-D3-A1QA	18	12	238	190	70	0	0	0	0
TCGA-D3-A1QB	18	25	144	214	42	0	0	0	0
TCGA-D3-A2J6	5	6	6	0	0	0	5	0	0
TCGA-D3-A2J7	11	0	161	189	45	0	0	0	0
TCGA-D3-A2J8	19	0	319	270	0	0	0	0	0
TCGA-D3-A2J9	3	7	21	37	0	0	0	0	0
TCGA-D3-A2JA	14	53	138	205	0	0	0	0	0
TCGA-D3-A2JB	2	7	3	0	0	0	0	0	0
TCGA-D3-A2JC	4	2	59	130	24	0	0	0	0
TCGA-D3-A2JD	14	0	132	311	0	0	0	0	0
TCGA-D3-A2JE	21	18	154	196	0	0	0	0	0
TCGA-D3-A2JF	69	6	835	817	0	0	0	0	0
TCGA-D3-A2JG	7	9	50	62	0	0	0	0	0
TCGA-D3-A2JH	28	35	239	339	70	0	0	0	0
TCGA-D3-A2JK	14	32	142	162	0	0	0	0	0
TCGA-D3-A2JL	19	33	142	160	0	0	0	0	0
TCGA-D3-A2JN	13	59	148	160	0	0	0	0	0
TCGA-D3-A2JO	25	43	361	285	0	0	0	0	0
TCGA-D3-A2JP	8	0	99	148	38	0	0	0	0
TCGA-D3-A3BZ	7	49	0	0	0	0	0	0	0
TCGA-D3-A3C1	1	30	41	47	0	0	0	0	39
TCGA-D3-A3C3	7	18	79	151	0	0	0	0	41
TCGA-D3-A3C6	8	0	46	70	0	0	0	0	0
TCGA-D3-A3C7	44	45	498	524	0	0	0	0	0
TCGA-D3-A3C8	1	0	217	237	0	0	0	0	0
TCGA-D3-A3CB	5	0	146	116	0	0	0	0	0
TCGA-D3-A3CC	3	32	0	0	0	0	0	0	0
TCGA-D3-A3CE	4	12	9	7	0	0	0	0	0
TCGA-D3-A3CF	2	10	0	9	0	0	0	0	11
TCGA-D3-A3ML	25	9	562	414	126	0	0	0	0
TCGA-D3-A3MO	9	15	32	0	0	0	0	15	0
TCGA-D3-A3MR	34	18	446	502	0	0	0	0	0
TCGA-D3-A3MU	20	24	331	204	0	0	0	0	0
TCGA-D3-A3MV	15	13	299	223	80	0	0	0	0
TCGA-D3-A51E	8	30	86	150	47	0	0	0	0
TCGA-D3-A51F	0	17	30	61	0	0	0	0	0
TCGA-D3-A51G	41	74	448	739	162	0	0	0	0
TCGA-D3-A51H	0	0	8	5	0	0	6	0	0
TCGA-D3-A51J	17	13	192	310	0	0	0	0	0
TCGA-D3-A51K	0	10	0	0	0	16	0	0	0
TCGA-D3-A51N	3	24	27	47	0	0	0	0	0
TCGA-D3-A51R	40	29	453	337	0	0	0	0	0
TCGA-D3-A51T	56	55	593	716	0	0	0	0	0
TCGA-D3-A5GL	26	91	149	228	0	0	0	0	0
TCGA-D3-A5GN	24	0	297	256	0	0	0	0	0
TCGA-D3-A5GO	68	76	1018	720	0	0	0	0	0
TCGA-D3-A5GR	12	39	131	127	0	0	0	0	0
TCGA-D3-A5GS	12	5	212	255	0	0	0	0	0
TCGA-D3-A5GU	32	134	255	459	0	0	0	0	0
TCGA-D3-A8GB	28	0	474	631	115	0	0	0	0
TCGA-D3-A8GC	32	31	459	485	0	0	0	0	0
TCGA-D3-A8GD	7	20	20	0	13	0	0	36	14
TCGA-D3-A8GE	0	6	0	0	0	0	0	0	0
TCGA-D3-A8GI	246	193	3711	2083	0	0	0	0	0
TCGA-D3-A8GJ	12	13	104	113	0	0	0	0	0
TCGA-D3-A8GK	16	43	340	266	0	0	0	0	0
TCGA-D3-A8GL	75	56	1075	1002	0	0	0	0	0
TCGA-D3-A8GM	400	536	1939	1590	0	0	0	0	0
TCGA-D3-A8GN	11	0	109	135	38	0	0	0	0
TCGA-D3-A8GO	32	43	303	313	0	0	0	0	0
TCGA-D3-A8GP	38	93	288	263	0	0	0	0	0
TCGA-D3-A8GQ	25	0	1000	495	197	0	0	0	0
TCGA-D3-A8GR	17	49	143	242	0	0	0	0	0
TCGA-D3-A8GS	18	8	88	134	0	0	0	0	0
TCGA-D3-A8GV	17	0	210	162	71	0	0	0	0
TCGA-D9-A148	12	47	113	148	0	0	0	0	0
TCGA-D9-A149	13	14	95	129	29	0	0	0	0
TCGA-D9-A1JW	34	18	435	590	0	0	0	0	0
TCGA-D9-A1JX	10	9	89	59	41	0	0	0	0
TCGA-D9-A3Z1	27	10	250	301	0	0	0	0	0
TCGA-D9-A3Z3	5	24	77	52	0	0	0	0	0
TCGA-D9-A4Z6	10	0	181	131	0	0	0	0	0
TCGA-D9-A6E9	11	34	87	65	0	0	0	0	0
TCGA-D9-A6EA	21	56	370	346	0	0	0	0	0
TCGA-D9-A6EC	88	1414	1860	1680	0	0	0	0	0
TCGA-D9-A6EG	0	22	23	21	0	10	0	0	14
TCGA-DA-A1HV	51	77	894	639	0	0	0	0	0
