Samples	SBS1	SBS5	SBS6	SBS7a	SBS7b	SBS10b	SBS15
TCGA-BF-A1PU	9	0	0	20	67	0	0
TCGA-BF-A1PV	17	3	0	172	140	0	0
TCGA-BF-A1PX	1	0	0	123	249	0	0
TCGA-BF-A1PZ	7	20	0	57	200	0	0
TCGA-BF-A1Q0	36	37	0	362	335	0	0
TCGA-BF-A3DJ	7	6	0	80	43	27	0
TCGA-BF-A3DL	25	29	0	310	188	0	0
TCGA-BF-A3DM	25	0	0	237	302	0	0
TCGA-BF-A3DN	2	15	0	41	26	11	0
TCGA-BF-A5EO	35	75	0	378	240	0	0
TCGA-BF-A5EP	10	38	0	64	79	0	0
TCGA-BF-A5EQ	30	3	0	320	339	0	0
TCGA-BF-A5ER	12	6	0	82	101	31	0
TCGA-BF-A5ES	28	17	0	209	300	56	0
TCGA-D3-A5GT	10	16	0	0	0	0	0
TCGA-D9-A1X3	9	13	0	0	15	0	0
TCGA-D9-A3Z4	12	25	0	26	116	0	0
TCGA-D9-A4Z2	4	15	0	0	0	0	7
TCGA-D9-A4Z3	37	0	0	270	656	0	0
TCGA-D9-A4Z5	8	32	0	0	15	0	15
TCGA-EB-A1NK	7	12	0	52	82	17	0
TCGA-EB-A24C	2	17	13	0	0	0	0
TCGA-EB-A24D	22	60	0	256	360	0	0
TCGA-EB-A299	9	5	0	68	100	0	0
TCGA-EB-A3HV	0	10	0	20	15	0	10
TCGA-EB-A3XB	28	78	0	266	228	0	0
TCGA-EB-A3XC	17	46	0	179	248	0	0
TCGA-EB-A3XD	15	0	0	156	212	0	0
TCGA-EB-A3XE	1	5	0	6	5	0	0
TCGA-EB-A3XF	13	9	0	241	200	0	0
TCGA-EB-A3Y6	23	37	0	248	341	69	0
TCGA-EB-A3Y7	47	122	0	651	481	0	0
TCGA-EB-A41A	37	0	0	1136	854	213	0
TCGA-EB-A41B	11	0	0	258	147	61	0
TCGA-EB-A42Y	12	36	0	17	0	0	0
TCGA-EB-A42Z	7	0	0	27	65	26	0
TCGA-EB-A430	23	35	0	160	254	0	0
TCGA-EB-A431	75	14	0	829	1164	0	0
TCGA-EB-A44N	6	8	0	56	87	22	0
TCGA-EB-A44O	32	41	0	165	365	0	0
TCGA-EB-A44P	8	45	0	127	228	0	0
TCGA-EB-A4IQ	0	11	0	0	0	0	7
TCGA-EB-A4IS	15	57	0	232	367	0	0
TCGA-EB-A4OY	7	51	0	0	0	0	0
TCGA-EB-A4OZ	0	13	0	0	0	0	0
TCGA-EB-A4P0	10	35	0	78	113	0	0
TCGA-EB-A4XL	15	35	0	217	277	0	0
TCGA-EB-A551	12	37	0	152	143	61	0
TCGA-EB-A553	26	74	0	78	195	0	0
TCGA-EB-A57M	5	25	0	0	0	0	11
TCGA-EB-A5FP	17	39	0	189	236	0	0
TCGA-EB-A5SE	9	30	0	102	179	31	0
TCGA-EB-A5SF	0	18	0	9	7	0	0
TCGA-EB-A5UM	22	5	0	245	326	69	0
TCGA-EB-A5VU	7	16	11	0	9	0	0
TCGA-EB-A6QY	18	14	0	299	318	86	0
TCGA-EB-A6QZ	13	46	0	93	178	0	0
TCGA-EB-A6R0	25	33	0	130	257	0	0
TCGA-ER-A194	60	14	0	639	909	0	0
TCGA-ER-A196	1	8	0	0	0	0	10
TCGA-ER-A19K	22	0	0	225	180	0	0
TCGA-ER-A2NB	3	42	18	0	0	0	0
TCGA-ER-A2NF	10	0	0	16	17	0	0
TCGA-ER-A42H	26	34	0	0	0	0	0
TCGA-FR-A2OS	9	5	0	0	0	0	0
TCGA-FR-A3R1	23	0	0	139	299	50	0
TCGA-FR-A726	202	107	0	3258	4888	0	0
TCGA-FR-A728	12	23	0	213	209	0	0
TCGA-FS-A1ZN	4	5	0	55	52	0	0
TCGA-FW-A5DX	10	19	0	91	109	0	0
TCGA-GF-A2C7	0	8	0	25	50	0	0
TCGA-GF-A769	13	18	0	60	86	0	0
TCGA-GN-A263	18	14	0	204	279	0	0
TCGA-GN-A269	22	67	0	404	401	0	0
TCGA-GN-A26C	57	39	0	1007	947	0	0
TCGA-GN-A4U5	15	0	0	107	265	0	0
TCGA-HR-A2OG	11	24	0	76	108	0	0
TCGA-IH-A3EA	59	0	0	938	774	0	0
