Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA-BF-A1PU	1	0.999	0.285	28.5%	0.148	14.8%	0.15398	0.999
TCGA-BF-A1PV	9	0.991	2.534	28.156%	1.083	13.433%	0.48335	0.991
TCGA-BF-A1PX	10	0.999	2.854	28.54%	1.481	14.81%	0.15398	0.999
TCGA-BF-A1PZ	18	0.997	3.981	22.117%	1.295	8.576%	0.16933	0.997
TCGA-BF-A1Q0	13	0.985	5.745	44.192%	2.079	20.485%	1.06157	0.985
TCGA-BF-A3DJ	2	0.801	1.846	92.3%	0.867	61.306%	0.84253	0.795
TCGA-BF-A3DL	12	0.871	12.855	107.125%	5.95	102.042%	1.68551	0.872
TCGA-BF-A3DM	14	0.998	3.247	23.193%	1.247	9.564%	0.14432	0.998
TCGA-BF-A3DN	2	0.765	2.401	120.05%	0.973	68.801%	1.19578	0.762
TCGA-BF-A5EO	18	0.987	7.257	40.317%	2.673	18.807%	0.66767	0.987
TCGA-BF-A5EP	10	0.993	2.833	28.33%	1.148	12.678%	0.49741	0.993
TCGA-BF-A5EQ	18	0.99	6.179	34.328%	2.403	16.907%	0.27527	0.99
TCGA-BF-A5ER	3	0.907	1.84	61.333%	1.087	48.612%	0.67322	0.906
TCGA-BF-A5ES	18	0.99	6.179	34.328%	2.463	17.33%	0.2952	0.99
TCGA-D9-A3Z4	5	0.972	1.896	37.92%	1.009	24.472%	0.53613	0.972
TCGA-D9-A4Z3	69	0.999	15.678	22.722%	6.322	9.722%	0.13085	0.999
TCGA-EB-A1NK	6	0.949	3.693	61.55%	1.749	41.224%	0.72746	0.948
TCGA-EB-A24D	45	0.997	12.336	27.413%	3.199	8.392%	0.3954	0.997
TCGA-EB-A299	7	0.968	3.584	51.2%	1.632	31.408%	0.66145	0.967
TCGA-EB-A3HV	1	0.187	1.862	186.2%	0.999	99.9%	2.67083	0.161
TCGA-EB-A3XB	14	0.951	8.43	60.214%	4.154	43.308%	0.49261	0.95
TCGA-EB-A3XC	18	0.995	4.982	27.678%	1.636	10.185%	0.80776	0.995
TCGA-EB-A3XD	8	0.951	5.464	68.3%	2.453	46.357%	0.74683	0.951
TCGA-EB-A3XF	7	0.95	4.114	58.771%	1.383	31.728%	0.57647	0.948
TCGA-EB-A3Y6	23	0.999	5.016	21.809%	1.711	8.129%	0.15859	0.999
TCGA-EB-A3Y7	25	0.979	11.215	44.86%	4.997	26.981%	0.36916	0.979
TCGA-EB-A41A	45	0.995	12.536	27.858%	4.26	11.739%	0.24705	0.995
TCGA-EB-A41B	12	0.992	3.49	29.083%	1.342	13.288%	0.39161	0.991
TCGA-EB-A42Z	1	0.999	0.285	28.5%	0.148	14.8%	0.15398	0.999
TCGA-EB-A430	10	0.988	3.418	34.18%	1.38	16.987%	0.33883	0.988
TCGA-EB-A431	60	0.997	17.882	29.803%	6.462	13.982%	0.30843	0.997
TCGA-EB-A44N	1	0.999	0.285	28.5%	0.148	14.8%	0.15398	0.999
TCGA-EB-A44O	25	0.98	10.188	40.752%	4.504	23.135%	0.37522	0.98
TCGA-EB-A44P	20	0.996	4.774	23.87%	1.557	9.112%	0.2931	0.996
TCGA-EB-A4IS	35	0.996	8.556	24.446%	2.626	9.002%	0.20208	0.996
TCGA-EB-A4P0	6	0.982	1.875	31.25%	0.976	19.141%	0.43888	0.982
TCGA-EB-A4XL	21	0.994	6.596	31.41%	2.073	12.111%	0.41968	0.994
TCGA-EB-A551	15	0.992	3.479	23.193%	1.664	12.651%	0.22361	0.992
TCGA-EB-A553	9	0.992	2.523	28.033%	1.078	13.371%	0.45165	0.991
TCGA-EB-A5FP	11	0.971	5.177	47.064%	2.413	29.049%	0.42384	0.971
