MutationType	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23
1:Del:C:0	0.00015989	0.00482412	0.12472711	0.00724972	0.02220211	0.03050680	0.00046656	0.03982756	0.33493988	0.02510541	0.00157657	0.05278774	0.06554837	0.01201601	0.02652737	0.00095277	0.00611760	0.00601205	0.05408908	0.00657844	0.00138887	0.00256992	0.05169788
1:Del:C:1	0.00077352	0.00002210	0.20887617	0.00273487	0.02854722	0.00549190	0.00000000	0.02391594	0.09999423	0.02930632	0.00055032	0.01467466	0.01753646	0.00194623	0.12100979	0.00000000	0.00366755	0.00200402	0.01500886	0.00326868	0.00483662	0.00173093	0.10619410
1:Del:C:2	0.00000000	0.00000311	0.17632422	0.00204106	0.02659693	0.00803399	0.00856194	0.00333055	0.00269066	0.01880406	0.00035734	0.00056193	0.00512022	0.00068370	0.14782886	0.00008150	0.00122033	0.00200402	0.00184945	0.00209468	0.00128434	0.00079875	0.05287559
1:Del:C:3	0.00190761	0.00247208	0.06404276	0.00111228	0.01415912	0.00110238	0.04236015	0.00540315	0.01062542	0.01650356	0.00000000	0.00099558	0.00535052	0.00048747	0.13600606	0.00162491	0.00000002	0.00400803	0.00656318	0.00218954	0.00279289	0.00153291	0.03862287
1:Del:C:4	0.00070599	0.00385698	0.04398981	0.00107568	0.00287342	0.00247817	0.11489191	0.00127571	0.01249690	0.00293063	0.00000000	0.00224005	0.00434601	0.00207192	0.08419770	0.00337864	0.00000002	0.00000000	0.00820689	0.00048195	0.00525348	0.00242153	0.01125206
1:Del:C:5	0.00337011	0.01461542	0.02241749	0.00224618	0.00260245	0.00132207	0.25176314	0.00093373	0.00004480	0.00000000	0.00015647	0.02941081	0.00084306	0.00237028	0.01845829	0.00000000	0.00122093	0.00200402	0.00033611	0.00000000	0.01424820	0.00532924	0.00573968
1:Del:T:0	0.00131160	0.00790597	0.03759923	0.00663505	0.10148115	0.00428416	0.00266749	0.03424369	0.10510537	0.02830611	0.00094421	0.04513512	0.05369876	0.01830980	0.02395164	0.00062865	0.00608835	0.08617269	0.01854399	0.00405899	0.06289173	0.00318728	0.21323872
1:Del:T:1	0.00000000	0.00000000	0.01330982	0.00162247	0.10609961	0.00067769	0.00773273	0.01045208	0.04429364	0.00000000	0.00025851	0.00000000	0.49822416	0.00085256	0.07996011	0.00015704	0.00490320	0.17234538	0.00460977	0.00339319	0.00591724	0.00236556	0.11431327
1:Del:T:2	0.00093645	0.00703642	0.01650185	0.00263341	0.11412846	0.01165966	0.00025476	0.00899203	0.08586196	0.00151033	0.00051652	0.01096920	0.02377780	0.01085642	0.12041047	0.00000000	0.00122548	0.11823695	0.00873799	0.00377836	0.00514523	0.00184639	0.05769072
1:Del:T:3	0.00229585	0.02023474	0.02014148	0.00030604	0.08896221	0.02224239	0.02897274	0.00982504	0.11325066	0.00142031	0.00042568	0.02210937	0.06278095	0.01718395	0.11343122	0.00000000	0.00122381	0.23847791	0.02264413	0.00564621	0.00003080	0.00010264	0.03864648
1:Del:T:4	0.00429142	0.04711993	0.01581436	0.00102320	0.05225953	0.01769714	0.15885055	0.00127378	0.09441274	0.00241052	0.00193245	0.04407796	0.02300438	0.01334790	0.07917883	0.00100165	0.00000000	0.09018072	0.02052353	0.00266571	0.00033607	0.00038330	0.01990450
1:Del:T:5	0.00000000	0.81469723	0.00806631	0.00015444	0.03061052	0.00795434	0.00000019	0.01062034	0.00092983	0.00000000	0.00653939	0.00034851	0.00607958	0.03861700	0.04690321	0.00000000	0.00000005	0.07014056	0.00189831	0.00977325	0.03423706	0.00872547	0.00484058
