Type	DBS1
AC>CA	5.015450889067741e-05
AC>CG	2.6641429269897052e-05
AC>CT	0.0043303332336057
AC>GA	0.0001281937137505
AC>GG	5.76221822466334e-05
AC>GT	0.0029878292286036
AC>TA	0.0012112818469622
AC>TG	0.0001736173506556
AC>TT	0.0267491423848963
AT>CA	0.0004840250796672
AT>CC	0.0002982480291693
AT>CG	3.995701962104136e-06
AT>GA	0.002128904985683
AT>GC	0.0001747306412795
AT>TA	0.0023498291542691
CC>AA	1.058856806694788e-05
CC>AG	1.228673464372254e-05
CC>AT	0.0186845812174071
CC>GA	0.000133889446442
CC>GG	9.809409284663035e-05
CC>GT	0.0069142939919348
CC>TA	0.0103914249122855
CC>TG	0.0025478971663041
CC>TT	0.8572925502689513
CG>AT	6.164610447482519e-07
CG>GC	5.54099313853321e-06
CG>GT	1.7379498773997154e-06
CG>TA	0.0003640401822312
CG>TC	1.2881275561903773e-05
CG>TT	0.000126800823055
CT>AA	2.8067583659162848e-05
CT>AC	0.0004246686203841
CT>AG	2.8878199793723505e-18
CT>GA	9.038369900351358e-05
CT>GC	0.0002554089316773
CT>GG	1.0943317816568908e-05
CT>TA	0.0079156513549323
CT>TC	0.0106420411841875
CT>TG	0.0022703017274955
GC>AA	0.0015844069172561
GC>AG	0.0001072982185122
GC>AT	4.882341130318299e-05
GC>CA	5.7745964908898154e-05
GC>CG	5.163050681958777e-06
GC>TA	8.290957114524093e-07
TA>AT	0.0005049413107422
TA>CG	7.547209610442732e-06
TA>CT	0.0007019184834227
TA>GC	2.009257128078131e-05
TA>GG	7.027401796213564e-05
TA>GT	0.0011498668658563
TC>AA	1.0988326265694114e-05
TC>AG	3.1150392808252117e-06
TC>AT	0.002480564249314
TC>CA	4.455816705905319e-06
TC>CG	3.326740979522071e-05
TC>CT	0.00191588323545
TC>GA	6.472023360161119e-05
TC>GG	0.0004144353101955
TC>GT	0.0051426344783675
TG>AA	0.0013810929329038
TG>AC	0.0002389187933825
TG>AT	0.002429514676758
TG>CA	0.0002812592026831
TG>CC	0.0001038338294399
TG>CT	0.0018649795815008
TG>GA	0.0004102951047937
TG>GC	8.959706712101483e-05
TG>GT	0.0019153847346833
TT>AA	0.0055468792407569
TT>AC	0.0007274594897629
TT>AG	0.000422330404115
TT>CA	0.0007325110182054
TT>CC	0.0054761538021472
TT>CG	8.464668735881176e-05
TT>GA	0.00187927060108
TT>GC	0.0010709816057188
TT>GG	0.0016266800375037
