Type	ID3	ID8	ID11	ID13
1:Del:C:0	0.124727109	0.039827558	0.001576565	0.065548371
1:Del:C:1	0.20887617	0.023915938	0.000550318	0.017536463
1:Del:C:2	0.176324218	0.003330554	0.000357338	0.005120219
1:Del:C:3	0.064042764	0.005403153	9.08e-18	0.005350516
1:Del:C:4	0.043989808	0.001275709	9.08e-18	0.004346005
1:Del:C:5	0.022417486	0.000933729	0.000156465	0.000843056
1:Del:T:0	0.03759923	0.034243687	0.000944206	0.053698762
1:Del:T:1	0.013309824	0.010452076	0.000258505	0.498224165
1:Del:T:2	0.016501851	0.00899203	0.000516519	0.023777805
1:Del:T:3	0.020141477	0.009825045	0.00042568	0.062780952
1:Del:T:4	0.015814364	0.00127378	0.001932451	0.023004382
1:Del:T:5	0.008066314	0.010620342	0.006539395	0.006079575
1:Ins:C:0	0.002083092	0.002764271	0.000186238	0.002850428
1:Ins:C:1	0.001578887	0.002169119	0.163482884	0.001652256
1:Ins:C:2	0.001747946	0.001527	0.093738843	0.00082125
1:Ins:C:3	0.006177647	0.000116524	0.03617564	0.000375555
1:Ins:C:4	0.007104447	0.000554177	0.011189789	0.000148578
1:Ins:C:5	0.007351101	0.000489489	0.003412242	0.000706981
1:Ins:T:0	0.018722365	0.004507979	0.000406945	0.041137013
1:Ins:T:1	0.043119029	0.004868696	0.314277276	0.004748853
1:Ins:T:2	0.04015704	0.001429636	0.161807823	0.003054171
1:Ins:T:3	0.025125434	0.001087286	0.107725327	0.009271857
1:Ins:T:4	0.006563305	0.000822618	0.04903068	0.012098641
1:Ins:T:5	0.026181239	0.020161248	0.023629043	0.011099794
2:Del:R:0	0.006897553	0.008769219	9.08e-18	0.022184399
2:Del:R:1	0.008474654	0.010307145	0.001363099	0.004333215
2:Del:R:2	0.011800641	0.000532026	0.000150729	0.003108924
2:Del:R:3	0.006671125	2.71e-05	9.08e-18	0.000105566
2:Del:R:4	0.002822525	0.000274027	9.13e-06	6.13e-06
2:Del:R:5	0.000101239	0.000833079	0.004527713	6.63e-05
3:Del:R:0	0.000589124	0.010964101	0.000189442	0.003039667
3:Del:R:1	0.000372386	0.001348867	0.000390863	0.001186963
3:Del:R:2	9.63e-05	0.000376571	0.000170422	0.000384379
3:Del:R:3	2.45e-05	0.000253509	0.000127576	6.9e-05
3:Del:R:4	3.82e-06	2.68e-06	0.001202108	3.09e-06
3:Del:R:5	3.83e-07	9.1e-05	0.001742363	9.96e-05
4:Del:R:0	0.000177645	0.006691309	9.08e-18	0.002155349
4:Del:R:1	0.000634573	0.001622955	0.000355504	2.3e-05
4:Del:R:2	0.000116799	0.000272623	9.08e-18	7.92e-05
4:Del:R:3	4.12e-18	2.88e-05	0.000312137	3.92e-05
4:Del:R:4	4.12e-18	9.73e-05	0.000687366	9.47e-06
4:Del:R:5	2.83e-06	6.34e-06	0.000157603	6.3e-05
5:Del:R:0	0.001776785	0.237978862	0.001281454	0.020097536
5:Del:R:1	7.41e-05	0.000572257	0.000474634	0.002980534
5:Del:R:2	2.78e-06	0.000516838	9.08e-18	6.99e-05
5:Del:R:3	4.12e-18	8.16e-06	9.08e-18	6.4e-06
5:Del:R:4	4.37e-05	0.000112898	9.08e-18	1.46e-06
5:Del:R:5	3.82e-06	4.43e-05	8.18e-08	2.35e-06
2:Ins:R:0	0.00263595	0.00191671	0.000190467	0.010618411
2:Ins:R:1	0.002242683	0.001661816	9.08e-18	0.001801368
2:Ins:R:2	0.000955604	0.000304586	0.000247885	0.000688524
2:Ins:R:3	0.000897238	0.000177583	0.000372356	0.000743544
2:Ins:R:4	0.000253085	1.66e-05	0.000442384	0.000213354
2:Ins:R:5	6.67e-06	0.001764384	0.000288801	0.000846575
3:Ins:R:0	9.6e-05	0.000667863	9.08e-18	8.21e-05
3:Ins:R:1	0.000286144	0.000671723	0.000207083	0.003688328
3:Ins:R:2	9.75e-05	0.000135768	0.000221526	0.000202511
3:Ins:R:3	1.36e-05	3.79e-05	2.18e-05	2.37e-05
3:Ins:R:4	1.56e-06	0.000122041	9.08e-18	3.49e-06
3:Ins:R:5	4.12e-18	3.66e-05	9.01e-05	3.54e-05
4:Ins:R:0	4.12e-18	0.000777758	0.000159621	0.001118797
4:Ins:R:1	0.000175982	0.001103901	0.000377636	0.002691635
4:Ins:R:2	2.74e-05	7.99e-05	9.08e-18	6.93e-05
4:Ins:R:3	4.77e-05	8.58e-06	9.08e-18	6.39e-07
4:Ins:R:4	4.18e-06	0.000205515	9.08e-18	1.21e-05
4:Ins:R:5	3.29e-05	0.000885225	9.08e-18	3.14e-07
5:Ins:R:0	8.83e-05	0.000318329	0.00066606	0.002590231
5:Ins:R:1	0.00065622	0.009761114	0.00115191	0.013501952
5:Ins:R:2	5.51e-06	0.000101153	0.000366007	4.59e-05
5:Ins:R:3	3.32e-05	7.09e-05	8.34e-07	4.61e-05
5:Ins:R:4	7.87e-06	6.74e-06	2.25e-06	2.43e-06
5:Ins:R:5	3.48e-06	0.000190551	1.84e-06	4.33e-05
2:Del:M:1	0.006930764	0.004913672	0.000382064	0.008872408
3:Del:M:1	0.000344612	0.009290337	0.000200443	0.001140083
3:Del:M:2	0.00030285	0.004302693	0.000301744	0.000450306
4:Del:M:1	7.35e-05	0.005809551	9.08e-18	0.001270798
4:Del:M:2	0.000340216	0.001591587	9.08e-18	0.000159723
4:Del:M:3	0.000130463	0.001098342	0.000789868	0.000270578
5:Del:M:1	0.001369634	0.28072426	0.000282794	0.011740777
5:Del:M:2	0.001751272	0.123610163	0.000372771	0.007055421
5:Del:M:3	0.000774958	0.046130408	0.000750127	0.002165984
5:Del:M:4	0.000640555	0.016367256	0.000130278	0.000281736
5:Del:M:5	0.00036297	0.012814882	0.000518955	0.013131907
